Date,Close,daily_articles
2023-03-09,380.8130798339844,3
2023-03-13,374.78326416015625,2
2023-03-14,380.9784240722656,1
2023-03-15,378.5956726074219,1
2023-03-16,385.23822021484375,2
2023-03-20,384.3947448730469,4
2023-03-21,389.4420471191406,1
2023-03-24,386.3570556640625,2
2023-03-27,387.0794677734375,1
2023-03-28,386.2105712890625,1
2023-03-30,394.1183776855469,1
2023-03-31,399.6733093261719,1
2023-04-03,401.1962585449219,3
2023-04-05,397.92578125,1
2023-04-10,399.8880920410156,1
2023-04-11,399.9954528808594,1
2023-04-12,398.3651123046875,3
2023-04-13,403.6564636230469,1
2023-04-14,402.6704711914063,2
2023-04-17,404.11529541015625,1
2023-04-19,404.310546875,3
2023-04-20,402.104248046875,2
2023-04-21,402.4166259765625,1
2023-04-24,402.83636474609375,1
2023-04-26,394.76263427734375,3
2023-04-27,402.6216430664063,2
2023-05-01,405.6481018066406,1
2023-05-02,401.0888366699219,3
2023-05-03,398.3358154296875,3
2023-05-04,395.5144348144531,1
2023-05-11,402.3482666015625,3
2023-05-12,401.8210754394531,1
2023-05-15,403.2074279785156,1
2023-05-19,408.6842346191406,2
2023-05-22,408.8502197265625,1
2023-05-23,404.26171875,1
2023-05-25,404.8084716796875,1
2023-05-26,410.0509948730469,1
2023-05-30,410.2072143554688,1
2023-05-31,407.9325256347656,3
2023-06-01,411.8083190917969,2
2023-06-02,417.7635192871094,1
2023-06-05,416.96295166015625,2
2023-06-06,417.8709106445313,1
2023-06-08,418.9447937011719,1
2023-06-09,419.6965026855469,1
2023-06-12,423.50390625,2
2023-06-13,426.2960205078125,1
2023-06-14,426.8037109375,1
2023-06-16,430.6232604980469,2
2023-06-20,428.3891296386719,1
2023-06-22,427.7326354980469,2
2023-06-23,424.4989013671875,5
